index row col crate slot
0 0 0 1 3
1 0 1 1 3
2 0 2 1 3
3 0 3 1 3
4 0 4 1 3
5 0 5 1 3
6 0 6 1 3
7 0 7 1 3
8 0 8 1 3
9 0 9 1 3
10 0 10 1 3
11 0 11 1 3
12 0 12 1 3
13 0 13 1 3
14 0 14 1 3
15 0 15 1 3
16 0 16 1 4
17 0 17 1 4
18 0 18 1 4
19 0 19 1 4
20 0 20 1 4
21 0 21 1 4
22 0 22 1 4
23 0 23 1 4
24 0 24 1 4
25 0 25 1 4
26 0 26 1 4
27 0 27 1 4
28 0 28 1 4
29 0 29 1 4
30 1 0 1 4
31 1 1 1 4
32 1 2 1 5
33 1 3 1 5
34 1 4 1 5
35 1 5 1 5
36 1 6 1 5
37 1 7 1 5
38 1 8 1 5
39 1 9 1 5
40 1 10 1 5
41 1 11 1 5
42 1 12 1 5
43 1 13 1 5
44 1 14 1 5
45 1 15 1 5
46 1 16 1 5
47 1 17 1 5
48 1 18 1 6
49 1 19 1 6
50 1 20 1 6
51 1 21 1 6
52 1 22 1 6
53 1 23 1 6
54 1 24 1 6
55 1 25 1 6
56 1 26 1 6
57 1 27 1 6
58 1 28 1 6
59 1 29 1 6
60 2 0 1 6
61 2 1 1 6
62 2 2 1 6
63 2 3 1 6
64 2 4 1 7
65 2 5 1 7
66 2 6 1 7
67 2 7 1 7
68 2 8 1 7
69 2 9 1 7
70 2 10 1 7
71 2 11 1 7
72 2 12 1 7
73 2 13 1 7
74 2 14 1 7
75 2 15 1 7
76 2 16 1 7
77 2 17 1 7
78 2 18 1 7
79 2 19 1 7
80 2 20 1 8
81 2 21 1 8
82 2 22 1 8
83 2 23 1 8
84 2 24 1 8
85 2 25 1 8
86 2 26 1 8
87 2 27 1 8
88 2 28 1 8
89 2 29 1 8
90 3 0 1 8
91 3 1 1 8
92 3 2 1 8
93 3 3 1 8
94 3 4 1 8
95 3 5 1 8
96 3 6 1 9
97 3 7 1 9
98 3 8 1 9
99 3 9 1 9
100 3 10 1 9
101 3 11 1 9
102 3 12 1 9
103 3 13 1 9
104 3 14 1 9
105 3 15 1 9
106 3 16 1 9
107 3 17 1 9
108 3 18 1 9
109 3 19 1 9
110 3 20 1 9
111 3 21 1 9
112 3 22 1 10
113 3 23 1 10
114 3 24 1 10
115 3 25 1 10
116 3 26 1 10
117 3 27 1 10
118 3 28 1 10
119 3 29 1 10
120 4 0 1 10
121 4 1 1 10
122 4 2 1 10
123 4 3 1 10
124 4 4 1 10
125 4 5 1 10
126 4 6 1 10
127 4 7 1 10
128 4 8 1 13
129 4 9 1 13
130 4 10 1 13
131 4 11 1 13
132 4 12 1 13
133 4 13 1 13
134 4 14 1 13
135 4 15 1 13
136 4 16 1 13
137 4 17 1 13
138 4 18 1 13
139 4 19 1 13
140 4 20 1 13
141 4 21 1 13
142 4 22 1 13
143 4 23 1 13
144 4 24 1 14
145 4 25 1 14
146 4 26 1 14
147 4 27 1 14
148 4 28 1 14
149 4 29 1 14
150 5 0 1 14
151 5 1 1 14
152 5 2 1 14
153 5 3 1 14
154 5 4 1 14
155 5 5 1 14
156 5 6 1 14
157 5 7 1 14
158 5 8 1 14
159 5 9 1 14
160 5 10 1 15
161 5 11 1 15
162 5 12 1 15
163 5 13 1 15
164 5 14 1 15
165 5 15 1 15
166 5 16 1 15
167 5 17 1 15
168 5 18 1 15
169 5 19 1 15
170 5 20 1 15
171 5 21 1 15
172 5 22 1 15
173 5 23 1 15
174 5 24 1 15
175 5 25 1 15
176 5 26 1 16
177 5 27 1 16
178 5 28 1 16
179 5 29 1 16
180 6 0 1 16
181 6 1 1 16
182 6 2 1 16
183 6 3 1 16
184 6 4 1 16
185 6 5 1 16
186 6 6 1 16
187 6 7 1 16
188 6 8 1 16
189 6 9 1 16
190 6 10 1 16
191 6 11 1 16
192 6 12 1 17
193 6 13 1 17
194 6 14 1 17
195 6 15 1 17
196 6 16 1 17
197 6 17 1 17
198 6 18 1 17
199 6 19 1 17
200 6 20 1 17
201 6 21 1 17
202 6 22 1 17
203 6 23 1 17
204 6 24 1 17
205 6 25 1 17
206 6 26 1 17
207 6 27 1 17
208 6 28 1 18
209 6 29 1 18
210 7 0 1 18
211 7 1 1 18
212 7 2 1 18
213 7 3 1 18
214 7 4 1 18
215 7 5 1 18
216 7 6 1 18
217 7 7 1 18
218 7 8 1 18
219 7 9 1 18
220 7 10 1 18
221 7 11 1 18
222 7 12 1 18
223 7 13 1 18
224 7 14 1 19
225 7 15 1 19
226 7 16 1 19
227 7 17 1 19
228 7 18 1 19
229 7 19 1 19
230 7 20 1 19
231 7 21 1 19
232 7 22 1 19
233 7 23 1 19
234 7 24 1 19
235 7 25 1 19
236 7 26 1 19
237 7 27 1 19
238 7 28 1 19
239 7 29 1 19
240 8 0 2 3
241 8 1 2 3
242 8 2 2 3
243 8 3 2 3
244 8 4 2 3
245 8 5 2 3
246 8 6 2 3
247 8 7 2 3
248 8 8 2 3
249 8 9 2 3
250 8 10 2 3
251 8 11 2 3
252 8 12 2 3
253 8 13 2 3
254 8 14 2 3
255 8 15 2 3
256 8 16 2 4
257 8 17 2 4
258 8 18 2 4
259 8 19 2 4
260 8 20 2 4
261 8 21 2 4
262 8 22 2 4
263 8 23 2 4
264 8 24 2 4
265 8 25 2 4
266 8 26 2 4
267 8 27 2 4
268 8 28 2 4
269 8 29 2 4
270 9 0 2 4
271 9 1 2 4
272 9 2 2 5
273 9 3 2 5
274 9 4 2 5
275 9 5 2 5
276 9 6 2 5
277 9 7 2 5
278 9 8 2 5
279 9 9 2 5
280 9 10 2 5
281 9 11 2 5
282 9 12 2 5
283 9 13 2 5
284 9 14 2 5
285 9 15 2 5
286 9 16 2 5
287 9 17 2 5
288 9 18 2 6
289 9 19 2 6
290 9 20 2 6
291 9 21 2 6
292 9 22 2 6
293 9 23 2 6
294 9 24 2 6
295 9 25 2 6
296 9 26 2 6
297 9 27 2 6
298 9 28 2 6
299 9 29 2 6
300 10 0 2 6
301 10 1 2 6
302 10 2 2 6
303 10 3 2 6
304 10 4 2 7
305 10 5 2 7
306 10 6 2 7
307 10 7 2 7
308 10 8 2 7
309 10 9 2 7
310 10 10 2 7
311 10 11 2 7
312 10 12 2 7
313 10 13 2 7
314 10 14 2 7
315 10 15 2 7
316 10 16 2 7
317 10 17 2 7
318 10 18 2 7
319 10 19 2 7
320 10 20 2 8
321 10 21 2 8
322 10 22 2 8
323 10 23 2 8
324 10 24 2 8
325 10 25 2 8
326 10 26 2 8
327 10 27 2 8
328 10 28 2 8
329 10 29 2 8
330 11 0 2 8
331 11 1 2 8
332 11 2 2 8
333 11 3 2 8
334 11 4 2 8
335 11 5 2 8
336 11 6 2 9
337 11 7 2 9
338 11 8 2 9
339 11 9 2 9
340 11 10 2 9
341 11 11 2 9
342 11 12 2 9
343 11 13 2 9
344 11 14 2 9
345 11 15 2 9
346 11 16 2 9
347 11 17 2 9
348 11 18 2 9
349 11 19 2 9
350 11 20 2 9
351 11 21 2 9
352 11 22 2 10
353 11 23 2 10
354 11 24 2 10
355 11 25 2 10
356 11 26 2 10
357 11 27 2 10
